X,Y,OBJECTID,currentValueTime,currentValue,Name
-285656.259471231,6704915.77537443,5542,2017/01/05 04:00:00+00,7.694,Eastville
-284252.393763688,6697912.39153731,5543,2017/01/21 16:00:00+00,0.106,Brislington
-285656.259471231,6704915.77537443,5544,2017/01/27 17:00:00+00,7.63,Eastville
-293204.769686181,6697303.4512554,5545,2017/02/05 20:15:00+00,0.391,Colliters Brook
-293204.769686181,6697303.4512554,5546,2017/02/06 04:00:00+00,0.387,Colliters Brook
-285656.259471231,6704915.77537443,5547,2017/02/08 04:00:00+00,7.615,Eastville
-293204.769686181,6697303.4512554,5548,2016/11/20 10:15:00+00,0.615,Colliters Brook
-292299.699288219,6699323.02851977,5549,2016/11/24 04:00:00+00,1.27,Ashton Vale
-293204.769686181,6697303.4512554,5550,2016/11/30 09:00:00+00,0.386,Colliters Brook
-285656.259471231,6704915.77537443,5551,2016/12/02 17:30:00+00,0.413,Eastville
-293204.769686181,6697303.4512554,5552,2016/12/02 16:00:00+00,0.294,Colliters Brook
-285656.259471231,6704915.77537443,5553,2016/12/03 16:00:00+00,0.411,Eastville
-284252.393763688,6697912.39153731,5554,2016/12/14 04:00:00+00,0.143,Brislington
-287945.67407325,6702017.94952149,5555,2016/12/14 04:00:00+00,0.056,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5556,2016/12/22 16:00:00+00,7.69,Eastville
-284399.352004795,6701468.19484754,5557,2016/12/25 04:00:00+00,0.458,Netham Weir
-287945.67407325,6702017.94952149,5558,2016/12/25 16:00:00+00,0.108000000000001,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5559,2016/12/26 04:00:00+00,0.106,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5560,2016/12/27 16:00:00+00,0.099,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5561,2016/12/27 16:00:00+00,7.57,Eastville
-284252.393763688,6697912.39153731,5562,2016/12/28 16:00:00+00,0.1,Brislington
-285656.259471231,6704915.77537443,5563,2017/04/17 09:00:00+01,7.574,Eastville
-284252.393763688,6697912.39153731,5564,2017/04/22 17:00:00+01,0.069,Brislington
-287945.67407325,6702017.94952149,5565,2017/04/25 23:00:00+01,6.218,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,5566,2017/04/28 17:00:00+01,0.929,Ashton Vale
-285656.259471231,6704915.77537443,5567,2017/05/05 17:00:00+01,7.501,Eastville
-285656.259471231,6704915.77537443,5568,2017/05/13 17:00:00+01,7.509,Eastville
-292299.699288219,6699323.02851977,5569,2017/05/23 05:00:00+01,0.943,Ashton Vale
-293204.769686181,6697303.4512554,5570,2017/05/26 10:00:00+01,0,Colliters Brook
-287945.67407325,6702017.94952149,5571,2017/05/27 07:15:00+01,6.122,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,5572,2017/05/29 05:00:00+01,0.962,Ashton Vale
-284399.352004795,6701468.19484754,5573,2017/05/31 17:00:00+01,0.383999999999999,Netham Weir
-285656.259471231,6704915.77537443,5574,2017/06/01 05:00:00+01,7.502,Eastville
-284399.352004795,6701468.19484754,5575,2017/06/05 05:00:00+01,0.409,Netham Weir
-287945.67407325,6702017.94952149,5576,2017/06/02 07:15:00+01,6.033,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5577,2016/07/09 17:00:00+01,0.38,Eastville
-287945.67407325,6702017.94952149,5578,2015/12/30 04:00:00+00,0.217000000000001,Bristol Harbour Passage Street
-293204.769686181,6697303.4512554,5579,2016/01/07 04:00:00+00,0.378,Colliters Brook
-285656.259471231,6704915.77537443,5580,2016/01/01 19:15:00+00,0.45,Eastville
-287945.67407325,6702017.94952149,5581,2016/01/04 12:45:00+00,0.227,Bristol Harbour Passage Street
-293204.769686181,6697303.4512554,5582,2016/01/06 04:00:00+00,0.412,Colliters Brook
-292299.699288219,6699323.02851977,5583,2016/01/06 15:00:00+00,1.001,Ashton Vale
-285656.259471231,6704915.77537443,5584,2016/07/15 05:00:00+01,0.362,Eastville
-293204.769686181,6697303.4512554,5585,2016/07/16 10:00:00+01,0.011,Colliters Brook
-285656.259471231,6704915.77537443,5586,2016/10/05 17:00:00+01,0.31,Eastville
-284399.352004795,6701468.19484754,5587,2015/12/08 11:15:00+00,0.516,Netham Weir
-285656.259471231,6704915.77537443,5588,2016/09/06 05:00:00+01,0.374,Eastville
-287945.67407325,6702017.94952149,5589,2015/11/30 04:15:00+00,0.25,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5590,2016/09/06 05:00:00+01,0.068,Bristol Harbour Passage Street
-293204.769686181,6697303.4512554,5591,2015/12/03 04:00:00+00,0.254,Colliters Brook
-293204.769686181,6697303.4512554,5592,2016/09/07 10:00:00+01,0.024,Colliters Brook
-293204.769686181,6697303.4512554,5593,2016/07/03 10:00:00+01,0.017,Colliters Brook
-293204.769686181,6697303.4512554,5594,2015/12/20 04:00:00+00,0.171,Colliters Brook
-293204.769686181,6697303.4512554,5595,2015/10/27 14:30:00+00,0.01,Colliters Brook
-284252.393763688,6697912.39153731,5596,2015/10/28 04:15:00+00,0.106,Brislington
-285656.259471231,6704915.77537443,5597,2015/10/30 11:15:00+00,0.548,Eastville
-292299.699288219,6699323.02851977,5598,2015/10/31 04:15:00+00,0.971,Ashton Vale
-293204.769686181,6697303.4512554,5599,2015/11/05 04:15:00+00,0.056,Colliters Brook
-287945.67407325,6702017.94952149,5600,2015/11/13 04:15:00+00,0.209000000000001,Bristol Harbour Passage Street
-293204.769686181,6697303.4512554,5601,2015/11/13 13:00:00+00,0.115,Colliters Brook
-284399.352004795,6701468.19484754,5602,2016/09/30 17:00:00+01,0.354,Netham Weir
-293204.769686181,6697303.4512554,5603,2016/06/25 17:00:00+01,0.065,Colliters Brook
-293204.769686181,6697303.4512554,5604,2015/11/19 09:15:00+00,0.469,Colliters Brook
-287945.67407325,6702017.94952149,5605,2015/11/22 04:15:00+00,0.243,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5606,2015/11/24 11:15:00+00,0.545,Eastville
-285656.259471231,6704915.77537443,5607,2015/12/12 04:00:00+00,0.35,Eastville
-293204.769686181,6697303.4512554,5608,2014/12/17 04:15:00+00,0.293,Colliters Brook
-292299.699288219,6699323.02851977,5609,2014/12/17 09:15:00+00,0.994,Ashton Vale
-285656.259471231,6704915.77537443,5610,2014/12/26 21:30:00+00,0.499,Eastville
-287945.67407325,6702017.94952149,5611,2016/02/20 04:00:00+00,0.248,Bristol Harbour Passage Street
-293204.769686181,6697303.4512554,5612,2016/02/20 13:15:00+00,0.301,Colliters Brook
-287945.67407325,6702017.94952149,5613,2015/01/10 23:15:00+00,0.153,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,5614,2015/01/11 15:00:00+00,0.998,Ashton Vale
-284252.393763688,6697912.39153731,5615,2015/01/12 04:15:00+00,0.162,Brislington
-284399.352004795,6701468.19484754,5616,2016/08/04 17:00:00+01,0.393,Netham Weir
-287945.67407325,6702017.94952149,5617,2015/01/15 04:15:00+00,0.156,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5618,2016/02/23 04:00:00+00,0.278,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,5619,2015/01/22 04:15:00+00,0.986,Ashton Vale
-284252.393763688,6697912.39153731,5620,2016/04/13 08:45:00+01,0.136,Brislington
-285656.259471231,6704915.77537443,5621,2015/04/27 12:30:00+01,0.351999999999999,Eastville
-287945.67407325,6702017.94952149,5622,2015/04/29 05:15:00+01,0.158,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5623,2016/04/17 00:00:00+01,0.176,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,5624,2015/05/06 05:15:00+01,0.968,Ashton Vale
-293204.769686181,6697303.4512554,5625,2015/05/15 05:15:00+01,0.01,Colliters Brook
-285656.259471231,6704915.77537443,5626,2016/04/21 10:00:00+01,0.44,Eastville
-284399.352004795,6701468.19484754,5627,2016/01/15 04:00:00+00,0.598,Netham Weir
-284252.393763688,6697912.39153731,5628,2016/07/17 05:00:00+01,0.082,Brislington
-284399.352004795,6701468.19484754,5629,2016/07/17 17:00:00+01,0.389,Netham Weir
-293204.769686181,6697303.4512554,5630,2016/01/27 09:00:00+00,0.389,Colliters Brook
-287945.67407325,6702017.94952149,5631,2016/01/31 04:00:00+00,0.175,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,5632,2016/07/27 05:00:00+01,0.943,Ashton Vale
-285656.259471231,6704915.77537443,5633,2016/02/06 04:00:00+00,0.272,Eastville
-293204.769686181,6697303.4512554,5634,2016/02/08 05:15:00+00,0.537,Colliters Brook
-287945.67407325,6702017.94952149,5635,2016/02/10 05:30:00+00,0.09,Bristol Harbour Passage Street
-284252.393763688,6697912.39153731,5636,2016/02/11 05:00:00+00,0.165,Brislington
-284399.352004795,6701468.19484754,5637,2016/07/31 17:00:00+01,0.345,Netham Weir
-284252.393763688,6697912.39153731,5638,2016/02/13 04:00:00+00,0.145,Brislington
-293204.769686181,6697303.4512554,5639,2016/10/16 17:00:00+01,0.06,Colliters Brook
-284399.352004795,6701468.19484754,5640,2016/10/16 17:00:00+01,0.391999999999999,Netham Weir
-285656.259471231,6704915.77537443,5641,2016/10/21 05:00:00+01,0.285,Eastville
-284252.393763688,6697912.39153731,5642,2016/10/21 17:00:00+01,0.081,Brislington
-285656.259471231,6704915.77537443,5643,2016/10/26 17:00:00+01,0.283,Eastville
-287945.67407325,6702017.94952149,5644,2016/10/28 17:00:00+01,0.008,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5645,2016/11/01 16:00:00+00,0.076000000000001,Bristol Harbour Passage Street
-284252.393763688,6697912.39153731,5646,2016/11/04 04:00:00+00,0.109,Brislington
-293204.769686181,6697303.4512554,5647,2016/11/07 16:00:00+00,0.033,Colliters Brook
-287945.67407325,6702017.94952149,5648,2016/11/08 04:00:00+00,0.045,Bristol Harbour Passage Street
-284252.393763688,6697912.39153731,5649,2016/11/10 16:00:00+00,0.118,Brislington
-292299.699288219,6699323.02851977,5650,2016/11/19 04:00:00+00,1.073,Ashton Vale
-284252.393763688,6697912.39153731,5651,2015/08/12 19:15:00+01,0.07,Brislington
-285656.259471231,6704915.77537443,5652,2015/08/13 17:30:00+01,0.242999999999999,Eastville
-285656.259471231,6704915.77537443,5653,2016/05/25 17:00:00+01,0.351,Eastville
-287945.67407325,6702017.94952149,5654,2016/05/26 17:00:00+01,0.100000000000001,Bristol Harbour Passage Street
-284252.393763688,6697912.39153731,5655,2016/05/26 17:00:00+01,0.088,Brislington
-284399.352004795,6701468.19484754,5656,2016/08/24 05:00:00+01,0.421,Netham Weir
-285656.259471231,6704915.77537443,5657,2015/08/23 05:15:00+01,0.414,Eastville
-284399.352004795,6701468.19484754,5658,2016/05/31 05:00:00+01,0.455,Netham Weir
