X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol
-288089.3701,6702158.398,8511,2021/11/16 09:32:00+00,d32,5830,2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11494,Castle tunnel,Floating Harbour,5830,2360
-284389.19,6701650.563,8512,2021/11/16 09:26:00+00,d99,8840,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11495,Netham Lock,Feeder Canal,8840,1580
-291293.9654,6700743.108,8513,2021/11/30 10:50:00+00,d1,3230,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11501,Baltic Wharf,Floating Harbour,3230,630
-289186.4951,6701627.563,8514,2021/12/07 10:00:00+00,d4,8660,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11507,St Augustines Reach,Floating Harbour,8660,280
-284389.19,6701650.563,8515,2021/12/21 09:46:00+00,d99,7490,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11513,Netham Lock,Feeder Canal,7490,1600
-291293.9654,6700743.108,8516,2021/12/21 09:02:00+00,d1,1300,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11521,Baltic Wharf,Floating Harbour,1300,144
-289036.1314,6701008.409,8517,2022/01/04 10:00:00+00,d5,6870,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11524,Prince Street Bridge,Floating Harbour,6870,602
-288531.5121,6701217.017,8518,2022/02/01 10:10:00+00,d18,260,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11526,Redcliffe Bridge,Floating Harbour,260,86
-289186.4951,6701627.563,8519,2022/01/11 09:58:00+00,d4,14200,3730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11531,St Augustines Reach,Floating Harbour,14200,3730
-291293.9654,6700743.108,8520,2022/01/11 10:15:00+00,d1,11200,3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11533,Baltic Wharf,Floating Harbour,11200,3890
-284389.19,6701650.563,8521,2022/02/15 10:50:00+00,d99,23100,9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11552,Netham Lock,Feeder Canal,23100,9700
-291293.9654,6700743.108,8522,2022/03/08 10:45:00+00,d1,1999,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11568,Baltic Wharf,Floating Harbour,1999,528
-289186.4951,6701627.563,8523,2022/04/26 11:15:00+01,d4,1290,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11607,St Augustines Reach,Floating Harbour,1290,134
-291293.9654,6700743.108,8524,2022/05/10 09:50:00+01,d1,500,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11614,Baltic Wharf,Floating Harbour,500,80
-289186.4951,6701627.563,8525,2022/05/10 09:34:00+01,d4,400,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11616,St Augustines Reach,Floating Harbour,400,240
-289186.4951,6701627.563,8526,2022/05/17 09:42:00+01,d4,1800,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11617,St Augustines Reach,Floating Harbour,1800,250
-291293.9654,6700743.108,8527,2022/05/17 09:25:00+01,d1,1000,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11618,Baltic Wharf,Floating Harbour,1000,190
-289036.1314,6701008.409,8528,2022/05/17 09:46:00+01,d5,2200,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11619,Prince Street Bridge,Floating Harbour,2200,280
-290295.4778,6701170.247,8529,2022/05/17 09:32:00+01,d2,2300,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11620,S.S. Great Britain,Floating Harbour,2300,200
-284389.19,6701650.563,8530,2022/05/17 10:14:00+01,d99,10000,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11622,Netham Lock,Feeder Canal,10000,730
-288531.5121,6701217.017,8531,2022/05/31 11:09:00+01,d18,1100,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11633,Redcliffe Bridge,Floating Harbour,1100,430
-291574.2671,6700865.093,8532,2021/09/29 10:00:00+01,d13a,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11646,Cumberland Basin Holding Pen,Floating Harbour,4900,0
-291293.9654,6700743.108,8533,2021/09/30 10:00:00+01,d1,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11655,Baltic Wharf,Floating Harbour,0,1400
-291574.2671,6700865.093,8534,2021/09/30 10:00:00+01,d13a,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11657,Cumberland Basin Holding Pen,Floating Harbour,0,1500
-291720.9616,6700950.118,8535,2021/10/01 10:00:00+01,d13,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11660,Cumberland Basin (centre),Floating Harbour,0,800
-291720.9616,6700950.118,8536,2021/10/02 10:00:00+01,d13,6000,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11664,Cumberland Basin (centre),Floating Harbour,6000,700
